Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2022-12-20 12:30:00-05:00,380.64,381.68,380.01,381.5,6971623,0.0,0.0,0.0
2022-12-20 13:30:00-05:00,381.51,382.23,381.06,381.36,6227816,0.0,0.0,0.0
2022-12-20 14:30:00-05:00,381.37,381.43,380.06,381.03,8856480,0.0,0.0,0.0
2022-12-20 15:30:00-05:00,381.03,381.58,380.4,380.52,7468194,0.0,0.0,0.0
2022-12-21 09:30:00-05:00,383.25,385.22,382.69,385.15,14254487,0.0,0.0,0.0
2022-12-21 10:30:00-05:00,385.15,387.3,385.0,386.46,11207637,0.0,0.0,0.0
2022-12-21 11:30:00-05:00,386.46,386.83,385.41,385.64,5761179,0.0,0.0,0.0
2022-12-21 12:30:00-05:00,385.64,386.82,385.63,385.74,5196753,0.0,0.0,0.0
2022-12-21 13:30:00-05:00,385.74,387.41,385.71,386.45,6662177,0.0,0.0,0.0
2022-12-21 14:30:00-05:00,386.47,386.87,385.54,385.56,10970970,0.0,0.0,0.0
2022-12-21 15:30:00-05:00,385.56,386.29,385.24,386.23,9923603,0.0,0.0,0.0
2022-12-22 09:30:00-05:00,383.19,383.21,379.36,379.5,15389344,0.0,0.0,0.0
2022-12-22 10:30:00-05:00,379.49,379.81,378.66,379.15,10163755,0.0,0.0,0.0
2022-12-22 11:30:00-05:00,379.3,379.34,376.53,376.72,9152306,0.0,0.0,0.0
2022-12-22 12:30:00-05:00,376.72,376.94,375.22,375.49,9001445,0.0,0.0,0.0
2022-12-22 13:30:00-05:00,375.49,377.34,374.77,377.21,10747165,0.0,0.0,0.0
2022-12-22 14:30:00-05:00,377.22,380.39,376.75,380.28,13931235,0.0,0.0,0.0
2022-12-22 15:30:00-05:00,380.27,380.82,378.93,380.75,17573005,0.0,0.0,0.0
2022-12-23 09:30:00-05:00,379.65,381.81,378.03,381.4,14046727,0.0,0.0,0.0
2022-12-23 10:30:00-05:00,381.83,382.68,380.0,380.93,7948614,0.0,0.0,0.0
2022-12-23 11:30:00-05:00,380.93,382.67,380.8,382.13,6255550,0.0,0.0,0.0
2022-12-23 12:30:00-05:00,382.13,382.85,381.55,382.06,6194155,0.0,0.0,0.0
2022-12-23 13:30:00-05:00,382.06,382.43,381.03,381.68,3802911,0.0,0.0,0.0
2022-12-23 14:30:00-05:00,381.69,383.06,381.69,382.05,6102224,0.0,0.0,0.0
2022-12-23 15:30:00-05:00,382.05,382.95,381.56,382.91,7278011,0.0,0.0,0.0
2022-12-27 09:30:00-05:00,382.79,383.01,379.65,382.41,12365271,0.0,0.0,0.0
2022-12-27 10:30:00-05:00,382.4,383.15,381.61,382.35,6916905,0.0,0.0,0.0
2022-12-27 11:30:00-05:00,382.35,383.02,381.95,382.13,4665338,0.0,0.0,0.0
2022-12-27 12:30:00-05:00,382.13,382.61,381.46,381.97,4164240,0.0,0.0,0.0
2022-12-27 13:30:00-05:00,381.97,382.04,380.64,380.73,5187465,0.0,0.0,0.0
2022-12-27 14:30:00-05:00,380.73,382.12,380.5,381.97,5278889,0.0,0.0,0.0
2022-12-27 15:30:00-05:00,381.98,382.36,380.71,381.38,7572125,0.0,0.0,0.0
2022-12-28 09:30:00-05:00,381.33,383.39,380.25,380.67,10117894,0.0,0.0,0.0
2022-12-28 10:30:00-05:00,380.65,381.05,378.49,379.15,8545387,0.0,0.0,0.0
2022-12-28 11:30:00-05:00,379.15,379.26,377.3,377.85,8424073,0.0,0.0,0.0
2022-12-28 12:30:00-05:00,377.86,380.24,377.8,379.32,7213284,0.0,0.0,0.0
2022-12-28 13:30:00-05:00,379.32,379.35,378.13,378.38,5135257,0.0,0.0,0.0
2022-12-28 14:30:00-05:00,378.47,379.39,376.84,377.09,10378198,0.0,0.0,0.0
2022-12-28 15:30:00-05:00,377.09,377.52,376.42,376.68,11829170,0.0,0.0,0.0
